file	order	reorder	algo_time	bdd_time	reorder_time	minterms	span	inputs	clauses	functions	mean (variables_in_functions)	standard deviation (variables_in_functions)	median (variables_in_functions)	maxnode	total
../thesis/xml_mendonca/REAL-FM-3.xml	malik_fanin	NONE	0.003921568627450981	0.00047058823529411766	0.0	2.1208e+06	282.0	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	77.0	335.0
../thesis/xml_mendonca/REAL-FM-3.xml	FORCE	NONE	0.0	0.0006274509803921569	0.0	2.1208e+06	215.0	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	109.0	217.0
../thesis/xml_mendonca/REAL-FM-3.xml	narodyska	NONE	0.010588235294117652	0.0005490196078431372	0.0	2.1208e+06	395.0	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	121.0	562.0
../thesis/xml_mendonca/REAL-FM-3.xml	malik_level	NONE	0.002549019607843137	0.0005490196078431372	0.0	2.1208e+06	423.0	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	135.0	457.0
../thesis/xml_mendonca/REAL-FM-3.xml	fujii	NONE	0.0013725490196078432	0.0006274509803921569	0.0	2.1208e+06	306.0	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	241.0	581.0
../thesis/xml_mendonca/REAL-FM-3.xml	fujita	NONE	0.002352941176470588	0.00015686274509803922	0.0	2.1208e+06	243.0	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	73.0	197.0
../thesis/xml_mendonca/REAL-FM-3.xml	mendonca	NONE	0.007578084352941179	0.00023529411764705883	0.0	2.1208e+06	270.27450980392155	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	74.49019607843137	188.54901960784315
../thesis/xml_mendonca/REAL-FM-3.xml	MINCE	NONE	0.004901960784313726	0.00047058823529411766	0.0	2.1208e+06	159.41176470588235	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	76.19607843137256	97.52941176470588
../thesis/xml_mendonca/REAL-FM-3.xml	netlist	NONE	0.0	7.843137254901961e-05	0.0	2.1208e+06	238.0	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	74.0	198.0
../thesis/xml_mendonca/REAL-FM-1.xml	malik_fanin	NONE	0.015294117647058831	0.0018039215686274518	0.0	1.65299e+13	504.0	88.0	113.0	1.0	100.0		100.0	155.0	155.0
../thesis/xml_mendonca/REAL-FM-1.xml	FORCE	NONE	0.0	0.002117647058823531	0.0	1.65299e+13	404.0	88.0	113.0	1.0	100.0		100.0	148.0	148.0
../thesis/xml_mendonca/REAL-FM-1.xml	narodyska	NONE	0.03568627450980394	0.0023529411764705893	0.0	1.65299e+13	1077.0	88.0	113.0	1.0	100.0		100.0	397.0	397.0
../thesis/xml_mendonca/REAL-FM-1.xml	malik_level	NONE	0.014117647058823537	0.003450980392156865	0.0	1.65299e+13	1131.0	88.0	113.0	1.0	100.0		100.0	1942.0	1942.0
../thesis/xml_mendonca/REAL-FM-1.xml	fujii	NONE	0.0033333333333333335	0.0025098039215686293	0.0	1.65299e+13	1179.0	88.0	113.0	1.0	100.0		100.0	437.0	437.0
../thesis/xml_mendonca/REAL-FM-1.xml	fujita	NONE	0.007647058823529416	0.002039215686274511	0.0	1.65299e+13	447.0	88.0	113.0	1.0	100.0		100.0	163.0	163.0
../thesis/xml_mendonca/REAL-FM-1.xml	mendonca	NONE	0.004795274254901961	0.001098039215686275	0.0	1.65299e+13	432.0	88.0	113.0	1.0	100.0		100.0	145.0	145.0
../thesis/xml_mendonca/REAL-FM-1.xml	MINCE	NONE	0.014313725490196086	0.0018823529411764717	0.0	1.65299e+13	349.80392156862746	88.0	113.0	1.0	100.0		100.0	147.2156862745098	147.2156862745098
../thesis/xml_mendonca/REAL-FM-1.xml	netlist	NONE	0.0	0.0021960784313725503	0.0	1.65299e+13	454.0	88.0	113.0	1.0	100.0		100.0	163.0	163.0
../thesis/xml_mendonca/REAL-FM-4.xml	malik_fanin	NONE	0.06941176470588235	0.03325490196078434	0.0	4.52041e+49	4335.0	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	5043.0	73202.0
../thesis/xml_mendonca/REAL-FM-4.xml	FORCE	NONE	0.0	0.030980392156862765	0.0	4.52041e+49	3781.0	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	2193.0	25275.0
../thesis/xml_mendonca/REAL-FM-4.xml	narodyska	NONE	0.3068627450980392	1.884078431372549	0.0	4.52041e+49	9363.0	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	668187.0	1130767.0
